93605411;Республика Тывы, Бай-Талское;Республика Тывы;Бай-Талское
93605422;Республика Тывы, Кара-Хольское;Республика Тывы;Кара-Хольское
93605433;Республика Тывы, Кызыл-Дагское;Республика Тывы;Кызыл-Дагское
93605444;Республика Тывы, Тээлинское;Республика Тывы;Тээлинское
93605450;Республика Тывы, Хемчикское;Республика Тывы;Хемчикское
93605455;Республика Тывы, Шуйское;Республика Тывы;Шуйское
93605457;Республика Тывы, Ээр-Хавакское;Республика Тывы;Ээр-Хавакское
93610405;Республика Тывы, Акское;Республика Тывы;Акское
93610410;Республика Тывы, Аксы-Барлыкское;Республика Тывы;Аксы-Барлыкское
93610412;Республика Тывы, Аянгатинское;Республика Тывы;Аянгатинское
93610413;Республика Тывы, Барлыкское;Республика Тывы;Барлыкское
93610414;Республика Тывы, Бижиктиг-Хайское;Республика Тывы;Бижиктиг-Хайское
93610415;Республика Тывы, Хонделенское;Республика Тывы;Хонделенское
93610420;Республика Тывы, Шекпээрское;Республика Тывы;Шекпээрское
93610425;Республика Тывы, Эрги-Барлыкское;Республика Тывы;Эрги-Барлыкское
93610430;Республика Тывы, Кызыл-Мажалыкское;Республика Тывы;Кызыл-Мажалыкское
93615101;Республика Тывы, Город Чадан;Республика Тывы;Город Чадан
93615405;Республика Тывы, Баян-Талинское;Республика Тывы;Баян-Талинское
93615410;Республика Тывы, Ийменское;Республика Тывы;Ийменское
93615430;Республика Тывы, Теве-Хаинское;Республика Тывы;Теве-Хаинское
93615435;Республика Тывы, Хайыраканское;Республика Тывы;Хайыраканское
93615438;Республика Тывы, Хондергейское;Республика Тывы;Хондергейское
93615440;Республика Тывы, Хорум-Дагское;Республика Тывы;Хорум-Дагское
93615445;Республика Тывы, Чаданское;Республика Тывы;Чаданское
93615448;Республика Тывы, Чыраа-Бажынское;Республика Тывы;Чыраа-Бажынское
93615450;Республика Тывы, Чыргакынское;Республика Тывы;Чыргакынское
93615455;Республика Тывы, Шеминское;Республика Тывы;Шеминское
93620403;Республика Тывы, Бояровское;Республика Тывы;Бояровское
93620405;Республика Тывы, Бурен-Бай-Хаакское;Республика Тывы;Бурен-Бай-Хаакское
93620407;Республика Тывы, Бурен-Хемское;Республика Тывы;Бурен-Хемское
93620409;Республика Тывы, Дерзиг-Аксы;Республика Тывы;Дерзиг-Аксы
93620410;Республика Тывы, Ильинское;Республика Тывы;Ильинское
93620413;Республика Тывы, Кок-Хаакское;Республика Тывы;Кок-Хаакское
93620415;Республика Тывы, Кундустугское;Республика Тывы;Кундустугское
93620420;Республика Тывы, Сарыг-Сепское;Республика Тывы;Сарыг-Сепское
93620425;Республика Тывы, Сизимское;Республика Тывы;Сизимское
93620427;Республика Тывы, Суг-Бажынское;Республика Тывы;Суг-Бажынское
93620430;Республика Тывы, Усть-Буренское;Республика Тывы;Усть-Буренское
93622151;Республика Тывы, Поселок Каа-Хем;Республика Тывы;Поселок Каа-Хем
93622405;Республика Тывы, Баян-Кольское;Республика Тывы;Баян-Кольское
93622418;Республика Тывы, Кара-Хаакское;Республика Тывы;Кара-Хаакское
93622430;Республика Тывы, Сукпакское;Республика Тывы;Сукпакское
93622434;Республика Тывы, Терлиг-Хаинское;Республика Тывы;Терлиг-Хаинское
93622437;Республика Тывы, Усть-Элегестинское;Республика Тывы;Усть-Элегестинское
93622442;Республика Тывы, Целинное;Республика Тывы;Целинное
93622445;Республика Тывы, Чербинское;Республика Тывы;Чербинское
93622448;Республика Тывы, Шамбалыгское;Республика Тывы;Шамбалыгское
93622456;Республика Тывы, Ээрбекское;Республика Тывы;Ээрбекское
93625411;Республика Тывы, Каргынское;Республика Тывы;Каргынское
93625422;Республика Тывы, Моген-Буренское;Республика Тывы;Моген-Буренское
93630411;Республика Тывы, Саглынское;Республика Тывы;Саглынское
93630413;Республика Тывы, Сарыг-Хольское;Республика Тывы;Сарыг-Хольское
93630422;Республика Тывы, Солчурское;Республика Тывы;Солчурское
93630433;Республика Тывы, Дус-Дагское;Республика Тывы;Дус-Дагское
93630444;Республика Тывы, Хандагайтинское;Республика Тывы;Хандагайтинское
93630450;Республика Тывы, Чаа-Суурское;Республика Тывы;Чаа-Суурское
93635101;Республика Тывы, Город Туран;Республика Тывы;Город Туран
93635411;Республика Тывы, Аржаанское;Республика Тывы;Аржаанское
93635422;Республика Тывы, Севинское;Республика Тывы;Севинское
93635425;Республика Тывы, Сесерлигское;Республика Тывы;Сесерлигское
93635426;Республика Тывы, Сушское;Республика Тывы;Сушское
93635428;Республика Тывы, Тарлагское;Республика Тывы;Тарлагское
93635433;Республика Тывы, Уюкское;Республика Тывы;Уюкское
93635437;Республика Тывы, Хадынское;Республика Тывы;Хадынское
93638402;Республика Тывы, Ак-Дашское;Республика Тывы;Ак-Дашское
93638404;Республика Тывы, Алдан-Маадырское;Республика Тывы;Алдан-Маадырское
93638407;Республика Тывы, Бора-Тайгинское;Республика Тывы;Бора-Тайгинское
93638417;Республика Тывы, Ишкинское;Республика Тывы;Ишкинское
93638419;Республика Тывы, Кара-Чыраанское;Республика Тывы;Кара-Чыраанское
93638421;Республика Тывы, Кызыл-Тайгинское;Республика Тывы;Кызыл-Тайгинское
93638427;Республика Тывы, Суг-Аксынское;Республика Тывы;Суг-Аксынское
93640411;Республика Тывы, Арыг-Бажинское;Республика Тывы;Арыг-Бажинское
93640422;Республика Тывы, Бай-Хаакское;Республика Тывы;Бай-Хаакское
93640433;Республика Тывы, Балгазынское;Республика Тывы;Балгазынское
93640444;Республика Тывы, Дургенское;Республика Тывы;Дургенское
93640455;Республика Тывы, Кочетовское;Республика Тывы;Кочетовское
93640466;Республика Тывы, Межегейское;Республика Тывы;Межегейское
93640470;Республика Тывы, Успенка;Республика Тывы;Успенка
93643425;Республика Тывы, Шынаанское;Республика Тывы;Шынаанское
93645411;Республика Тывы, Берт-Дагское;Республика Тывы;Берт-Дагское
93645422;Республика Тывы, Кызыл-Чыраанское;Республика Тывы;Кызыл-Чыраанское
93645428;Республика Тывы, О-Шынаанское;Республика Тывы;О-Шынаанское
93645433;Республика Тывы, Самагалтайское;Республика Тывы;Самагалтайское
93645435;Республика Тывы, У-Шынаанское;Республика Тывы;У-Шынаанское
93645444;Республика Тывы, Чыргаландинское;Республика Тывы;Чыргаландинское
93645455;Республика Тывы, Шуурмакское;Республика Тывы;Шуурмакское
93650411;Республика Тывы, Азасское;Республика Тывы;Азасское
93650422;Республика Тывы, Ийское;Республика Тывы;Ийское
93650433;Республика Тывы, Сыстыг-Хемское;Республика Тывы;Сыстыг-Хемское
93650444;Республика Тывы, Тоора-Хемское;Республика Тывы;Тоора-Хемское
93650452;Республика Тывы, Чазыларское;Республика Тывы;Чазыларское
93650460;Республика Тывы, Ырбан;Республика Тывы;Ырбан
93654101;Республика Тывы, Город Шагонар;Республика Тывы;Город Шагонар
93654410;Республика Тывы, Арыг-Узюнское;Республика Тывы;Арыг-Узюнское
