17605101;Владимирская область, город Александров;Владимирская область;город Александров
17605105;Владимирская область, город Карабаново;Владимирская область;город Карабаново
17605108;Владимирская область, город Струнино;Владимирская область;город Струнино
17605152;Владимирская область, поселок Балакирево;Владимирская область;поселок Балакирево
17605404;Владимирская область, Андреевское;Владимирская область;Андреевское
17605444;Владимирская область, Каринское;Владимирская область;Каринское
17605448;Владимирская область, Краснопламенское;Владимирская область;Краснопламенское
17605468;Владимирская область, Следневское;Владимирская область;Следневское
17610101;Владимирская область, город Вязники;Владимирская область;город Вязники
17610160;Владимирская область, поселок Мстера;Владимирская область;поселок Мстера
17610165;Владимирская область, поселок Никологоры;Владимирская область;поселок Никологоры
17610444;Владимирская область, Паустовское;Владимирская область;Паустовское
17610445;Владимирская область, Октябрьское;Владимирская область;Октябрьское
17610448;Владимирская область, Сарыевское;Владимирская область;Сарыевское
17610460;Владимирская область, Степанцевское;Владимирская область;Степанцевское
17615101;Владимирская область, город Гороховец;Владимирская область;город Гороховец
17615412;Владимирская область, Денисовское;Владимирская область;Денисовское
17615420;Владимирская область, Куприяновское;Владимирская область;Куприяновское
17615436;Владимирская область, Фоминское;Владимирская область;Фоминское
17620115;Владимирская область, город Курлово;Владимирская область;город Курлово
17620420;Владимирская область, поселок Анопино;Владимирская область;поселок Анопино
17620426;Владимирская область, поселок Великодворский;Владимирская область;поселок Великодворский
17620428;Владимирская область, Григорьевское;Владимирская область;Григорьевское
17620430;Владимирская область, Демидовское;Владимирская область;Демидовское
17620434;Владимирская область, поселок Добрятино;Владимирская область;поселок Добрятино
17620435;Владимирская область, поселок Золотково;Владимирская область;поселок Золотково
17620438;Владимирская область, поселок Иванищи;Владимирская область;поселок Иванищи
17620442;Владимирская область, поселок Красное Эхо;Владимирская область;поселок Красное Эхо
17620444;Владимирская область, Краснооктябрьское;Владимирская область;Краснооктябрьское
17620452;Владимирская область, Купреевское;Владимирская область;Купреевское
17620458;Владимирская область, поселок Мезиновский;Владимирская область;поселок Мезиновский
17620488;Владимирская область, Уляхинское;Владимирская область;Уляхинское
17620490;Владимирская область, поселок Уршельский;Владимирская область;поселок Уршельский
17625101;Владимирская область, город Камешково;Владимирская область;город Камешково
17625404;Владимирская область, Брызгаловское;Владимирская область;Брызгаловское
17625408;Владимирская область, Вахромеевское;Владимирская область;Вахромеевское
17625412;Владимирская область, Второвское;Владимирская область;Второвское
17625424;Владимирская область, Пенкинское;Владимирская область;Пенкинское
17625428;Владимирская область, Сергеихинское;Владимирская область;Сергеихинское
17630101;Владимирская область, город Киржач;Владимирская область;город Киржач
17630408;Владимирская область, Горкинское;Владимирская область;Горкинское
17630420;Владимирская область, Кипревское;Владимирская область;Кипревское
17630426;Владимирская область, Першинское;Владимирская область;Першинское
17630436;Владимирская область, Филипповское;Владимирская область;Филипповское
17635173;Владимирская область, поселок Мелехово;Владимирская область;поселок Мелехово
17635408;Владимирская область, Ивановское;Владимирская область;Ивановское
17635412;Владимирская область, Клязьминское;Владимирская область;Клязьминское
17635415;Владимирская область, Малыгинское;Владимирская область;Малыгинское
17635420;Владимирская область, Новосельское;Владимирская область;Новосельское
17640101;Владимирская область, город Кольчугино;Владимирская область;город Кольчугино
17640404;Владимирская область, Бавленское;Владимирская область;Бавленское
17640416;Владимирская область, Есиплевское;Владимирская область;Есиплевское
17640424;Владимирская область, Ильинское;Владимирская область;Ильинское
17640442;Владимирская область, Раздольевское;Владимирская область;Раздольевское
17640444;Владимирская область, Флорищинское;Владимирская область;Флорищинское
17642101;Владимирская область, город Меленки;Владимирская область;город Меленки
17642412;Владимирская область, Бутылицкое;Владимирская область;Бутылицкое
17642424;Владимирская область, Даниловское;Владимирская область;Даниловское
17642428;Владимирская область, Денятинское;Владимирская область;Денятинское
17642432;Владимирская область, Дмитриевогорское;Владимирская область;Дмитриевогорское
17642440;Владимирская область, Илькинское;Владимирская область;Илькинское
17642452;Владимирская область, Ляховское;Владимирская область;Ляховское
17642480;Владимирская область, Тургеневское;Владимирская область;Тургеневское
17644408;Владимирская область, Борисоглебское;Владимирская область;Борисоглебское
17644424;Владимирская область, Ковардицкое;Владимирская область;Ковардицкое
17646101;Владимирская область, город Петушки;Владимирская область;город Петушки
17646110;Владимирская область, город Костерево;Владимирская область;город Костерево
17646120;Владимирская область, город Покров;Владимирская область;город Покров
17646153;Владимирская область, поселок Вольгинский;Владимирская область;поселок Вольгинский
17646157;Владимирская область, поселок Городищи;Владимирская область;поселок Городищи
17646448;Владимирская область, Нагорное;Владимирская область;Нагорное
17646454;Владимирская область, Пекшинское;Владимирская область;Пекшинское
17646456;Владимирская область, Петушинское;Владимирская область;Петушинское
17648151;Владимирская область, поселок Красная Горбатка;Владимирская область;поселок Красная Горбатка
17648408;Владимирская область, Волосатовское;Владимирская область;Волосатовское
17648416;Владимирская область, Малышевское;Владимирская область;Малышевское
17648424;Владимирская область, Новлянское;Владимирская область;Новлянское
17648444;Владимирская область, Чертковское;Владимирская область;Чертковское
17650101;Владимирская область, город Собинка;Владимирская область;город Собинка
17650110;Владимирская область, город Лакинск;Владимирская область;город Лакинск
17650157;Владимирская область, поселок Ставрово;Владимирская область;поселок Ставрово
17650404;Владимирская область, Асерховское;Владимирская область;Асерховское
17650412;Владимирская область, Березниковское;Владимирская область;Березниковское
17650420;Владимирская область, Воршинское;Владимирская область;Воршинское
17650440;Владимирская область, Колокшанское;Владимирская область;Колокшанское
17650444;Владимирская область, Копнинское;Владимирская область;Копнинское
17650448;Владимирская область, Рождественское;Владимирская область;Рождественское
17650450;Владимирская область, Толпуховское;Владимирская область;Толпуховское
17650456;Владимирская область, Черкутинское;Владимирская область;Черкутинское
17650460;Владимирская область, Куриловское;Владимирская область;Куриловское
17652101;Владимирская область, город Судогда;Владимирская область;город Судогда
17652404;Владимирская область, Андреевское;Владимирская область;Андреевское
17652408;Владимирская область, Вяткинское;Владимирская область;Вяткинское
17652420;Владимирская область, Головинское;Владимирская область;Головинское
17652432;Владимирская область, Мошокское;Владимирская область;Мошокское
17652434;Владимирская область, Муромцевское;Владимирская область;Муромцевское
17652440;Владимирская область, Лавровское;Владимирская область;Лавровское
17654101;Владимирская область, город Суздаль;Владимирская область;город Суздаль
17654403;Владимирская область, Боголюбовское;Владимирская область;Боголюбовское
17654412;Владимирская область, Селецкое;Владимирская область;Селецкое
17654432;Владимирская область, Новоалександровское;Владимирская область;Новоалександровское
17654436;Владимирская область, Павловское;Владимирская область;Павловское
17656101;Владимирская область, город Юрьев-Польский;Владимирская область;город Юрьев-Польский
17656416;Владимирская область, Красносельское;Владимирская область;Красносельское
17656432;Владимирская область, Небыловское;Владимирская область;Небыловское
17656448;Владимирская область, Симское;Владимирская область;Симское
17701000;Владимирская область, город Владимир;Владимирская область;город Владимир
17720000;Владимирская область, город Гусь-Хрустальный;Владимирская область;город Гусь-Хрустальный
17725000;Владимирская область, город Ковров;Владимирская область;город Ковров
17735000;Владимирская область, округ Муром;Владимирская область;округ Муром
17737000;Владимирская область, ЗАТО город Радужный;Владимирская область;ЗАТО город Радужный
18602405;Волгоградская область, Алексеевское;Волгоградская область;Алексеевское
18602408;Волгоградская область, Аржановское;Волгоградская область;Аржановское
18602410;Волгоградская область, Большебабинское;Волгоградская область;Большебабинское
